,name,year,max_wind,name_year,hurricane_id,date,time,status,latitude,longitude,air_pressure,latitude_decimal,longitude_decimal
525,Holly,1976,65,Holly_1976,228,19761022,1800,TD,19.1N,55.8W,1006,19.02,-55.13
49,Anita,1977,150,Anita_1977,229,19770829,1200,TD,26.9N,88.4W,1012,26.15,-88.07
73,Babe,1977,65,Babe_1977,230,19770903,600,SD,26.8N,86.3W,1007,26.13,-86.05
197,Clara,1977,65,Clara_1977,231,19770905,1200,TD,32.8N,80.0W,1015,32.13,-80.0
285,Dorothy,1977,75,Dorothy_1977,232,19770926,1800,TD,28.5N,71.5W,1010,28.08,-71.08
359,Evelyn,1977,70,Evelyn_1977,233,19771013,1800,TD,26.9N,62.9W,1010,26.15,-62.15
428,Frieda,1977,50,Frieda_1977,234,19771016,1800,TD,17.3N,83.2W,1011,17.05,-83.03
35,Amelia,1978,45,Amelia_1978,235,19780730,1800,TD,25.7N,97.0W,1006,25.12,-97.0
106,Bess,1978,45,Bess_1978,236,19780805,1200,TD,25.3N,90.4W,1012,25.05,-90.07
211,Cora,1978,80,Cora_1978,237,19780807,1200,TD,13.0N,35.0W,1010,13.0,-35.0
250,Debra,1978,50,Debra_1978,238,19780826,1200,TD,23.4N,88.4W,1010,23.07,-88.07
323,Ella,1978,120,Ella_1978,239,19780830,0,TD,26.2N,59.7W,1012,26.03,-59.12
398,Flossie,1978,85,Flossie_1978,240,19780904,0,TD,12.0N,39.0W,1006,12.0,-39.0
526,Hope,1978,55,Hope_1978,241,19780912,0,SD,29.8N,80.0W,1012,29.13,-80.0
482,Greta,1978,115,Greta_1978,242,19780913,1800,TD,11.0N,62.5W,-999,11.0,-62.08
560,Irma,1978,45,Irma_1978,243,19781002,1200,SD,31.7N,31.5W,1010,31.12,-31.08
616,Juliet,1978,45,Juliet_1978,244,19781007,1800,TD,18.0N,55.6W,1011,18.0,-55.1
640,Kendra,1978,70,Kendra_1978,245,19781028,1800,TD,23.5N,72.7W,1008,23.08,-72.12
37,Ana,1979,50,Ana_1979,246,19790619,1200,TD,10.0N,45.0W,1011,10.0,-45.0
122,Bob,1979,65,Bob_1979,247,19790709,1200,TD,22.0N,96.0W,1012,22.0,-96.0
198,Claudette,1979,45,Claudette_1979,248,19790715,1200,TD,12.5N,46.3W,1014,12.08,-46.05
230,David,1979,150,David_1979,249,19790825,1200,TD,11.7N,36.1W,1008,11.12,-36.02
426,Frederic,1979,115,Frederic_1979,250,19790829,600,TD,11.0N,25.5W,1009,11.0,-25.08
316,Elena,1979,35,Elena_1979,251,19790830,0,TD,25.5N,89.1W,1008,25.08,-89.02
465,Gloria,1979,85,Gloria_1979,252,19790904,1200,TD,15.5N,21.0W,1005,15.08,-21.0
512,Henri,1979,75,Henri_1979,253,19790915,0,TD,20.3N,86.8W,1003,20.05,-86.13
