,hurricane_id,date,name,time,status,latitude,longitude,max_wind,air_pressure,latitude_decimal,longitude_decimal,year
280,281,19830815,Alicia,1200,TD,27.3N,90.5W,30,1009,27.05,-90.08,1983
281,282,19830823,Barry,1800,TD,26.0N,76.0W,25,1012,26.0,-76.0,1983
282,283,19830910,Chantal,1200,TD,30.2N,64.4W,25,1010,30.03,-64.07,1983
283,284,19830926,Dean,1800,SS,28.0N,73.0W,35,1010,28.0,-73.0,1983
284,285,19840828,Arthur,1800,TD,10.5N,51.0W,25,1010,10.08,-51.0,1984
285,286,19840830,Bertha,1200,TD,13.1N,41.0W,25,1009,13.02,-41.0,1984
286,287,19840831,Cesar,0,SD,36.6N,66.9W,25,1008,36.1,-66.15,1984
287,288,19840908,Diana,1200,TS,28.5N,77.4W,35,1008,28.08,-77.07,1984
288,289,19840914,Edouard,0,TD,20.3N,96.1W,30,1000,20.05,-96.02,1984
289,290,19840915,Fran,1200,TD,13.7N,21.3W,25,1010,13.12,-21.05,1984
290,291,19840916,Gustav,1800,TD,28.6N,65.5W,30,1009,28.1,-65.08,1984
291,292,19840923,Hortense,0,SD,31.3N,58.3W,30,1009,31.05,-58.05,1984
292,293,19840925,Isidore,1200,TD,23.4N,73.0W,30,1003,23.07,-73.0,1984
293,294,19841007,Josephine,600,SD,24.1N,68.9W,25,1010,24.02,-68.15,1984
294,295,19841105,Klaus,1800,TD,14.7N,68.8W,15,1004,14.12,-68.13,1984
295,296,19841212,Lili,1200,SS,34.5N,60.5W,50,995,34.08,-60.08,1984
296,297,19850715,Ana,1800,TD,29.4N,64.2W,30,1011,29.07,-64.03,1985
297,298,19850721,Bob,600,TD,26.0N,85.0W,25,1012,26.0,-85.0,1985
298,299,19850809,Claudette,1800,SD,31.5N,80.5W,25,1013,31.08,-80.08,1985
299,300,19850812,Danny,0,TD,18.5N,80.7W,25,1010,18.08,-80.12,1985
300,301,19850828,Elena,0,TD,19.8N,74.0W,30,1012,19.13,-74.0,1985
301,302,19850915,Fabian,1800,TD,23.6N,70.8W,25,1008,23.1,-70.13,1985
302,303,19850916,Gloria,1200,TD,13.3N,23.6W,25,1009,13.05,-23.1,1985
303,304,19850921,Henri,1800,TD,29.6N,74.3W,25,1008,29.1,-74.05,1985
