,hurricane_id,date,time,status,latitude,longitude,max_wind,air_pressure,latitude_decimal,longitude_decimal,year,name
261,262,19780118,1200,SD,22.0N,44.0W,25,1013,22.0,-44.0,1978,Unnamed
262,263,19780730,1800,TD,25.7N,97.0W,30,1006,25.12,-97.0,1978,Amelia
263,264,19780805,1200,TD,25.3N,90.4W,20,1012,25.05,-90.07,1978,Bess
264,265,19780807,1200,TD,13.0N,35.0W,25,1010,13.0,-35.0,1978,Cora
265,266,19780826,1200,TD,23.4N,88.4W,25,1010,23.07,-88.07,1978,Debra
266,267,19780830,0,TD,26.2N,59.7W,20,1012,26.03,-59.12,1978,Ella
267,268,19780904,0,TD,12.0N,39.0W,25,1006,12.0,-39.0,1978,Flossie
268,269,19780912,0,SD,29.8N,80.0W,25,1012,29.13,-80.0,1978,Hope
269,270,19780913,1800,TD,11.0N,62.5W,25,-999,11.0,-62.08,1978,Greta
270,271,19781002,1200,SD,31.7N,31.5W,30,1010,31.12,-31.08,1978,Irma
271,272,19781007,1800,TD,18.0N,55.6W,25,1011,18.0,-55.1,1978,Juliet
272,273,19781028,1800,TD,23.5N,72.7W,30,1008,23.08,-72.12,1978,Kendra
273,274,19790611,1200,TD,17.4N,81.1W,20,-999,17.07,-81.02,1979,Unnamed
274,275,19790619,1200,TD,10.0N,45.0W,25,1011,10.0,-45.0,1979,Ana
275,276,19790709,1200,TD,22.0N,96.0W,20,1012,22.0,-96.0,1979,Bob
276,277,19790715,1200,TD,12.5N,46.3W,20,1014,12.08,-46.05,1979,Claudette
277,278,19790825,1200,TD,11.7N,36.1W,25,1008,11.12,-36.02,1979,David
278,279,19790829,600,TD,11.0N,25.5W,25,1009,11.0,-25.08,1979,Frederic
279,280,19790830,0,TD,25.5N,89.1W,25,1008,25.08,-89.02,1979,Elena
280,281,19790904,1200,TD,15.5N,21.0W,25,1005,15.08,-21.0,1979,Gloria
281,282,19790915,0,TD,20.3N,86.8W,25,1003,20.05,-86.13,1979,Henri
282,283,19800717,0,TD,30.5N,76.5W,20,-999,30.08,-76.08,1980,Unnamed
283,284,19800731,1200,DB,11.0N,30.0W,25,-999,11.0,-30.0,1980,Allen
284,285,19800814,0,TD,12.7N,35.5W,25,1010,12.12,-35.08,1980,Bonnie
285,286,19800820,1200,SD,36.0N,73.0W,25,1010,36.0,-73.0,1980,Charley
286,287,19800901,0,TD,15.6N,38.0W,30,1010,15.1,-38.0,1980,Georges
287,288,19800904,1200,TD,17.7N,24.0W,25,1008,17.12,-24.0,1980,Earl
